gisjoin,white,black,AAPI,Hisp,id
G24000307407022,1981,393,42,331,24000307407022
G24000307408001,813,97,0,72,24000307408001
G24000307408002,1154,25,83,22,24000307408002
G24000307408003,1637,150,21,211,24000307408003
G24000307409001,742,102,182,296,24000307409001
G24000307409002,1657,830,189,234,24000307409002
G24000307409003,1128,264,29,27,24000307409003
G24000307409004,509,129,24,17,24000307409004
G24000307409005,933,15,57,202,24000307409005
G24000307410001,848,39,14,72,24000307410001
G24000307410002,1030,52,129,33,24000307410002
G24000307501011,360,49,41,51,24000307501011
G24000307501012,797,30,54,0,24000307501012
G24000307501013,231,302,0,144,24000307501013
G24000307501014,1129,402,11,71,24000307501014
G24000307501021,989,216,149,78,24000307501021
G24000307501022,843,259,0,98,24000307501022
G24000307502011,920,53,50,65,24000307502011
G24000307502012,755,899,40,143,24000307502012
G24000307502021,1375,173,52,100,24000307502021
G24000307502022,1107,89,97,97,24000307502022
G24000307502031,913,108,27,92,24000307502031
G24000307503001,726,38,0,40,24000307503001
G24000307503002,1600,15,80,36,24000307503002
G24000307504001,1110,0,78,8,24000307504001
G24000307504002,1439,11,198,38,24000307504002
G24000307504003,505,42,0,11,24000307504003
G24000307504004,357,92,8,34,24000307504004
G24000307508011,636,115,0,2,24000307508011
G24000307508012,1769,97,110,39,24000307508012
G24000307508013,1083,25,0,73,24000307508013
G24000307508014,1691,183,60,105,24000307508014
G24000307508031,967,1067,245,185,24000307508031
G24000307508032,1153,63,0,584,24000307508032
G24000307508033,277,419,0,960,24000307508033
G24000307508034,592,425,142,398,24000307508034
G24000307508035,144,110,12,39,24000307508035
G24000307508041,860,103,286,0,24000307508041
G24000307508042,1790,218,17,241,24000307508042
G24000307509001,463,65,124,48,24000307509001
G24000307509002,548,71,13,159,24000307509002
G24000307509003,1025,43,14,73,24000307509003
G24000307510001,1052,251,0,69,24000307510001
G24000307510002,713,99,29,188,24000307510002
G24000307510003,1204,60,0,31,24000307510003
G24000307511021,1608,974,102,163,24000307511021
G24000307511022,981,53,29,52,24000307511022
G24000307511031,1393,32,0,0,24000307511031
G24000307511032,930,0,12,0,24000307511032
G24000307511033,1784,381,101,45,24000307511033
G24000307511034,607,28,21,0,24000307511034
G24000307512001,1266,31,0,0,24000307512001
G24000307512002,2424,11,108,23,24000307512002
G24000307512003,136,112,11,0,24000307512003
G24000307514001,656,284,22,52,24000307514001
G24000307514002,592,340,56,12,24000307514002
G24000307514003,1191,330,107,66,24000307514003
G24000307515001,492,1353,70,158,24000307515001
G24000307515002,1100,909,62,688,24000307515002
G24000307515003,623,97,0,224,24000307515003
G24000307515004,454,191,186,476,24000307515004
G24000307516001,1691,12,16,0,24000307516001
G24000307516002,1666,113,149,24,24000307516002
G24000307516003,1398,20,15,1,24000307516003
G24000307517001,1299,179,83,39,24000307517001
G24000307517002,1022,70,41,37,24000307517002
G24000309800001,3,5,0,0,24000309800001
G24000309900000,0,0,0,0,24000309900000
G24000504001001,698,326,571,0,24000504001001
G24000504001002,1240,55,0,0,24000504001002
G24000504001003,1282,87,0,0,24000504001003
G24000504002001,794,231,63,62,24000504002001
G24000504002002,1085,138,8,66,24000504002002
G24000504004001,897,41,70,0,24000504004001
G24000504004002,984,99,210,77,24000504004002
G24000504004003,884,163,0,0,24000504004003
G24000504004004,653,0,22,24,24000504004004
G24000504004005,1355,49,54,49,24000504004005
G24000504005001,2349,56,25,76,24000504005001
G24000504006001,351,193,0,8,24000504006001
G24000504006002,716,507,148,0,24000504006002
G24000504006003,787,81,33,9,24000504006003
G24000504007011,836,25,60,49,24000504007011
G24000504007012,644,951,136,165,24000504007012
G24000504007021,1305,357,62,71,24000504007021
G24000504008001,823,741,100,202,24000504008001
G24000504008002,666,57,78,9,24000504008002
G24000504009001,1233,362,42,386,24000504009001
G24000504010001,780,224,26,48,24000504010001
G24000504010002,1416,33,68,0,24000504010002
G24000504011011,145,1491,162,0,24000504011011
G24000504011012,376,652,62,346,24000504011012
G24000504011013,555,1105,340,0,24000504011013
G24000504011014,0,1185,0,0,24000504011014
G24000504011021,119,739,55,27,24000504011021
G24000504012001,157,1106,44,85,24000504012001
G24000504012002,483,1025,33,73,24000504012002
G24000504013011,121,1516,0,36,24000504013011
G24000504013012,83,623,20,23,24000504013012
G24000504013013,284,530,101,113,24000504013013
G24000504013021,146,1658,0,18,24000504013021
G24000504013022,217,543,8,9,24000504013022
G24000504014001,1622,0,53,47,24000504014001
G24000504015031,1578,50,0,0,24000504015031
G24000504015032,1346,18,0,25,24000504015032
G24000504015033,866,23,0,73,24000504015033
G24000504015034,680,47,115,0,24000504015034
G24000504015035,1245,33,320,62,24000504015035
G24000504015041,543,1069,184,38,24000504015041
G24000504015042,782,511,1033,458,24000504015042
G24000504015043,803,427,28,115,24000504015043
G24000504015051,489,561,436,0,24000504015051
G24000504015052,505,937,235,34,24000504015052
G24000504015053,393,440,160,242,24000504015053
G24000504015061,195,827,197,7,24000504015061
G24000504015062,248,1430,413,111,24000504015062
G24000504015063,229,1149,155,0,24000504015063
G24000504015071,87,1090,37,152,24000504015071
G24000504015072,387,913,649,193,24000504015072
G24000504015073,0,468,361,67,24000504015073
G24000504015074,229,591,334,215,24000504015074
G24000504022011,1020,947,55,0,24000504022011
G24000504022012,751,667,61,71,24000504022012
G24000504022021,899,415,73,57,24000504022021
G24000504023021,168,2044,18,68,24000504023021
G24000504023022,233,2346,298,277,24000504023022
G24000504023031,77,961,0,25,24000504023031
G24000504023032,66,907,0,364,24000504023032
G24000504023033,45,1392,0,84,24000504023033
G24000504023034,54,1469,0,0,24000504023034
G24000504023035,147,1083,32,6,24000504023035
G24000504023041,17,1630,0,44,24000504023041
G24000504023042,17,941,0,12,24000504023042
G24000504023043,73,1116,0,0,24000504023043
G24000504023051,448,618,42,69,24000504023051
G24000504023052,50,950,0,5,24000504023052
G24000504023061,175,2392,85,119,24000504023061
G24000504023062,43,1009,125,15,24000504023062
G24000504023071,0,1803,0,89,24000504023071
G24000504023072,184,1807,45,279,24000504023072
G24000504023073,185,2012,49,0,24000504023073
G24000504024031,119,899,0,4,24000504024031
G24000504024032,32,945,0,0,24000504024032
